,outcome,factor,mwu,p-value,q-value,auc
0,death,initial_temp,12411.5,0.15640177440322717,0.19550221800403395,0.4656174969987995
1,death,max_temp_admission,9212.0,5.315042166848062e-05,0.0002657521083424031,0.3666759543048203
2,death,systolic_bp,12770.5,0.23667274868959876,0.2629697207662208,0.4755884105467004
3,death,initial_rr,10905.0,0.0025329811208436304,0.008443270402812102,0.4061150007448235
4,death,o2_saturation,11636.0,0.024397842765359484,0.04066307127559914,0.4333382988231789
5,death,chloroquine_days,11269.5,0.007218736612680075,0.018046841531700185,0.4422880690737834
6,death,hydroxychloroquine_days,11532.0,0.0602541986939826,0.08607742670568944,0.448018648018648
7,death,kaletra_days,11608.5,0.019937938838278112,0.039875877676556225,0.4585258916933286
8,death,pressors_days,7608.0,1.950163099981136e-15,1.9501630999811357e-14,0.3112420225822288
9,death,azithromycin_days,12727.0,0.4098946661536723,0.4098946661536723,0.49255002128565345
0,intubation,initial_temp,11854.5,0.38708772810047415,0.38708772810047415,0.4899363531162176
1,intubation,max_temp_admission,7591.0,3.5993084855010464e-06,1.1997694951670155e-05,0.33827985739750444
2,intubation,systolic_bp,11410.5,0.18047670584796427,0.22559588230995534,0.4680270713699754
3,intubation,initial_rr,10032.0,0.005027813020275308,0.008379688367125514,0.41148482362592287
4,intubation,o2_saturation,9019.0,0.00021358082044001651,0.0005339520511000413,0.3768436886307609
5,intubation,chloroquine_days,11096.0,0.20627285042905447,0.22919205603228274,0.48872445384073293
6,intubation,hydroxychloroquine_days,7517.5,1.3338520346754082e-07,6.66926017337704e-07,0.3212606837606838
7,intubation,kaletra_days,11267.5,0.05178482355529255,0.07397831936470364,0.49070202943994423
8,intubation,pressors_days,3332.0,6.262828441775365e-44,6.262828441775365e-43,0.15075558772961722
9,intubation,azithromycin_days,8879.0,0.0005165151605149862,0.0010330303210299725,0.3895665145665146
0,non_rebreather_mask,initial_temp,21687.5,0.03778111204392926,0.05397301720561323,0.44797777410559364
1,non_rebreather_mask,max_temp_admission,16099.5,6.495266704839062e-07,3.2476333524195307e-06,0.35473955579058697
2,non_rebreather_mask,systolic_bp,22197.5,0.0477371938644488,0.059671492330561,0.4513705315384928
3,non_rebreather_mask,initial_rr,18638.0,1.2534117816685868e-05,3.133529454171467e-05,0.3789906055553296
4,non_rebreather_mask,o2_saturation,19542.5,0.0003104868093481415,0.000620973618696283,0.40065811054617023
5,non_rebreather_mask,chloroquine_days,22761.0,0.4528678539743171,0.4528678539743171,0.49783464566929136
